"team","player","position","status","details"
"NYJ","Jermaine Johnson","LB","Questionable","QUESTIONABLE"
"NYJ","Michael Carter II","CB","Out","OUT"
"PHI","Ogbo Okoronkwo","DE","Injured Reserve","IR"
"PHI","Nakobe Dean","LB","Out","PUP-R"
"PHI","Charley Hughlett","LS","Injured Reserve","IR"
"PIT","Skylar Thompson","QB","Injured Reserve - RES","IR"
"PIT","Will Howard","QB","Injured Reserve - RES","IR"
"PIT","Jaylen Warren","RB","Out","QUESTIONABLE"
"PIT","Calvin Austin III","WR","Questionable","QUESTIONABLE"
"PIT","Alex Highsmith","LB","Questionable","QUESTIONABLE"
"PIT","Joey Porter Jr.","CB","Questionable","QUESTIONABLE"
"SEA","Josh Jones","G","Out","OUT"
"SEA","DeMarcus Lawrence","DE","Out","OUT"
"SEA","Devon Witherspoon","CB","Out","OUT"
"SEA","Julian Love","S","Out","OUT"
"SF","Kurtis Rourke","QB","Injured Reserve - RES","IR"
"SF","Brock Purdy","QB","Out","INACTIVE"
"SF","Jordan James","RB","Out","INACTIVE"
"SF","Jordan Watkins","WR","Out","INACTIVE"
"SF","Ricky Pearsall","WR","Out","INACTIVE"
"SF","George Kittle","TE","Injured Reserve","IR"
"SF","Yetur Gross-Matos","DE","Doubtful","DOUBTFUL"
"SF","Kalia Davis","DT","Doubtful","DOUBTFUL"
"SF","Alfred Collins","DT","Questionable","QUESTIONABLE"
"SF","Upton Stout","CB","Questionable","QUESTIONABLE"
"SF","Malik Mustapha","S","Out","PUP-R"
"TB","Bucky Irving","RB","Out","OUT"
"TB","Mike Evans","WR","Out","OUT"
"TB","Benjamin Morrison","CB","Out","OUT"
"TB","Jamel Dean","CB","Out","OUT"
"TB","Rashad Wisdom","S","Injured Reserve","IR"
"TB","Christian Izien","S","Out","OUT"
"TEN","Will Levis","QB","Injured Reserve - RES","IR"
"TEN","Tyjae Spears","RB","Questionable","QUESTIONABLE"
"TEN","Bryce Oliver","WR","Out","OUT"
"TEN","Calvin Ridley","WR","Questionable","QUESTIONABLE"
"TEN","Blake Hance","G","Out","OUT"
"TEN","James Lynch","DT","Questionable","QUESTIONABLE"
"TEN","Mike Brown","S","Injured Reserve","IR"
"TEN","Kevin Winston Jr.","S","Questionable","QUESTIONABLE"
"TEN","JC Latham","OT","Out","OUT"
"WAS","Noah Brown","WR","Out","OUT"
"WAS","Terry McLaurin","WR","Out","OUT"
"WAS","Sam Cosmi","G","Out","PUP-R"
"WAS","Javontae Jean-Baptiste","DE","Injured Reserve","IR"
