"team","player","position","status","details"
"NYG","Demetrius Flannigan-Fowles","LB","Out","QUESTIONABLE"
"NYG","Swayze Bozeman","LB","Questionable","QUESTIONABLE"
"NYG","Dru Phillips","CB","Questionable","QUESTIONABLE"
"NYG","Anthony Johnson Jr.","S","Out","PUP-R"
"NYG","Tyler Nubin","S","Questionable","QUESTIONABLE"
"NYG","Jevon Holland","S","Questionable","QUESTIONABLE"
"NYG","Dane Belton","S","Questionable","QUESTIONABLE"
"NYG","Jermaine Eluemunor","OT","Questionable","QUESTIONABLE"
"NYJ","Braelon Allen","RB","Injured Reserve","IR"
"NYJ","Kene Nwangwu","RB","Out","QUESTIONABLE"
"NYJ","Allen Lazard","WR","Questionable","QUESTIONABLE"
"NYJ","Jermaine Johnson","LB","Out","QUESTIONABLE"
"NYJ","Kiko Mauigoa","LB","Questionable","QUESTIONABLE"
"NYJ","Michael Carter II","CB","Out","QUESTIONABLE"
"PHI","Saquon Barkley","RB","Questionable","QUESTIONABLE"
"PHI","Grant Calcaterra","TE","Questionable","QUESTIONABLE"
"PHI","Landon Dickerson","G","Questionable","QUESTIONABLE"
"PHI","Ogbo Okoronkwo","DE","Injured Reserve","IR"
"PHI","Byron Young","DT","Questionable","QUESTIONABLE"
"PHI","Nakobe Dean","LB","Out","PUP-R"
"PHI","Jihaad Campbell","LB","Questionable","QUESTIONABLE"
"PHI","Charley Hughlett","LS","Injured Reserve","IR"
"PIT","Skylar Thompson","QB","Injured Reserve - RES","IR"
"PIT","Will Howard","QB","Injured Reserve - RES","IR"
"PIT","Jaylen Warren","RB","Out","QUESTIONABLE"
"PIT","Calvin Austin III","WR","Questionable","QUESTIONABLE"
"PIT","Alex Highsmith","LB","Questionable","QUESTIONABLE"
"PIT","Joey Porter Jr.","CB","Questionable","QUESTIONABLE"
"SEA","Josh Jones","G","Out","QUESTIONABLE"
"SEA","DeMarcus Lawrence","DE","Out","QUESTIONABLE"
"SEA","Derick Hall","LB","Questionable","QUESTIONABLE"
"SEA","Devon Witherspoon","CB","Out","QUESTIONABLE"
"SEA","Riq Woolen","CB","Questionable","QUESTIONABLE"
"SEA","Julian Love","S","Out","QUESTIONABLE"
"SF","Kurtis Rourke","QB","Injured Reserve - RES","IR"
"SF","Brock Purdy","QB","Out","QUESTIONABLE"
"SF","Jordan Watkins","WR","Out","QUESTIONABLE"
"SF","Ricky Pearsall","WR","Out","QUESTIONABLE"
"SF","Jauan Jennings","WR","Out","QUESTIONABLE"
"SF","George Kittle","TE","Injured Reserve","IR"
"SF","Yetur Gross-Matos","DE","Doubtful","DOUBTFUL"
"SF","Robert Beal Jr.","DE","Out","QUESTIONABLE"
"SF","Kalia Davis","DT","Doubtful","DOUBTFUL"
"SF","Alfred Collins","DT","Questionable","QUESTIONABLE"
"SF","Upton Stout","CB","Questionable","QUESTIONABLE"
"SF","Malik Mustapha","S","Out","PUP-R"
"TB","Bucky Irving","RB","Out","QUESTIONABLE"
"TB","Mike Evans","WR","Out","OUT"
"TB","Benjamin Morrison","CB","Out","QUESTIONABLE"
"TB","Jamel Dean","CB","Out","QUESTIONABLE"
